,Medicines,Uses
10,Alpha-Lipoic Acid,"
Alpha-lipoic acid is also called ALA. It is used by some people to help relieve nerve pain, diabetes, or other diseases. It may also help stop cell damage in the body. Other people have used it to help lower the pain in burning mouth syndrome. ALA is also used for macular degeneration, an eye problem that occurs with age or diabetes."
11,Angelica,"Traditional/Ethnobotanical usesAngelica has been cultivated as a medicinal and flavoring plant in Scandinavian countries since the 12th century and in England since the 16th century. Angelica formerly was used as a sedative. The roots and seeds are used to distill a volatile oil used in perfumery and for a licorice flavoring in liqueurs and other alcoholic beverages. The candied leaves and stems are used to decorate cakes.General usesAngelica may have applications in treating epilepsy and anxiety; however, clinical trials are lacking to support therapeutic applications. Antioxidant activity has also been reported."
12,Anise,"Traditional/Ethnobotanical usesAnise has a history of use as a spice and fragrance. It has been cultivated in Egypt for at least 4,000 years. Recordings of its diuretic use and treatment of digestive problems and toothache are seen in medical texts from this era. In ancient Greek history, writings explain how anise helps breathing, relieves pain, provokes urine, and eases thirst. The oil has been used commercially since the 1800s. The fragrance is used in food, soap, creams, and perfumes. Anise often is added to licorice candy or used as a ""licorice"" flavor substitute. It is a fragrant component of anisette liqueur. Anise is used widely as a flavoring in all food categories including alcohols, liqueurs, dairy products, gelatins, puddings, meats, and candies. It is sold as a spice, and the seeds are used as a breath freshener. The essential oil is used medicinally as well as in perfume, soaps, and sachets.Antispasmodic/ExpectorantAnise is well known as a carminative and an expectorant. Its ability to decrease bloating and settle the digestive tract still is used today, especially in pediatrics. In high doses, it is used as an antispasmodic and an antiseptic and for the treatment of cough, asthma, and bronchitis. Research reveals no clinical data regarding the use of anise as an expectorant or as an antimicrobial.Other usesThe oil of anise has been used for the treatment of lice, scabies, and psoriasis."
13,Aortic Extract,"
Aortic extract has been used by some people to help the blood vessels work better or to improve circulation. Some people use it to help protect their blood vessels from diseases or prevent stroke. Aortic extract is also used for treating leg ulcers."
14,Arabinoxylane,"
Arabinoxylane is used by some people to help support the immune system."
15,Arginine,"
Arginine helps your body to make a substance called nitric oxide, or NO. NO helps to relax blood vessels and this helps with blood flow. Some people take arginine to help with heart problems. Others may use it for pain caused by poor blood flow, especially in the legs. Some men who have problems getting an erection use it to help improve sexual activity."
16,Arnica,"
Arnica is used by some people to ease joint pain from arthritis."
17,Artichoke,"
Artichoke is used by some people to help lower cholesterol levels. Some people may use it to help lower blood sugar levels."
18,Ashwagandha,"
Ashwagandha is used by some people to help the body cope with stress."
19,Astragalus,"
Astragalus is used by some people to help improve their immune system."
20,Barberry,"Traditional/Ethnobotanical usesThe plant has a long history of use, dating back to the Middle Ages. Tribes in the Pacific Northwest used M. aquifolium to treat acne, and other Native Americans used Mahonia berries to treat scurvy. The sundried fruits have been eaten for fever-reducer and urine-production effects in Turkey. A preparation of the plant has been used to treat GI ailments and coughs. The alkaloid berberine was included as an astringent in eye drops, but its use has become rare. The fruits have been used to prepare jams, jellies, and juices. The use of the plant in traditional medicine has been limited by the bitter taste of the bark and root. However, multiple medicinal uses for barberry, including cancer, cholera, and high blood pressure have been listed.General usesClinical applications may include use in treating diabetes and cholesterol disorders, although clinical trials are limited. Other activity includes antimicrobial, antioxidant, and anti-inflammatory effects. No clinical trials exist to support uses related to effects on the heart/blood vessel and central nervous systems or treating cancer."
21,Barley Grass,"Traditional/Ethnobotanical usesBarley is considered to be the first cereal grain cultivated by humans. Its medicinal and food use dates back to 7000 BC. Crop reports on barley date back to 2440 BC, and the Chinese were cultivating barley circa 2000 BC. Since biblical times, ancient Asian and Middle Eastern cultures reportedly included young wheat and barley grass plants in their diets. Historically, the plant species was used in the treatment of skin, liver, blood, and GI disorders. Ancient Greeks used the mucilage derived from the cereal to treat GI inflammations. Gladiators ate barley for strength and stamina. The Roman physician Pliny used barley as part of a ritualized cure for boils.NutritionalIn 1940, it was explained how the vitamins, minerals, and protein in the cereal grasses are essential to animals and humans. A dehydrated preparation of cereal grass called ""cerophyl"" was approved as an ""accepted food"" by the Council of Foods of the American Medical Association in 1939. Later, synthetic nutrients were added to a number of foods, and multivitamins gained popularity. The juice of barley grass contains beta carotene, vitamins B1, B2, B6, B12, pantothenic acid, and folic acid. Minerals present include potassium, calcium, iron, phosphorus, and magnesium. Other constituents are chlorophyll, amino acids, protein, fiber, and enzymes. Cobalamin or vitamin B12 deficiency may be avoided in vegetarian diets by supplementation with dehydrated barley grass juice.Antioxidant activityBarley leaf extract has the ability to scavenge free radicals. Reactive oxygen species have been shown to play an important part in mediating the production of pro-inflammatory cytokines and can be instrumental in the pathogenesis of diseases such as rheumatoid synovitis, arthritis, and gout. Animal data shows an increased production of oxygen-free radicals with barley leaf extract added to the diet. Clinical studies show blood levels of oxygen-free radicals were reduced by supplementation with 15 g/day barley leaf extract in patients with type 2 diabetes mellitus. Similar results were noted in nondiabetic, hyperlipidemic patients. More clinical studies are needed to show the extent of benefits in humans.Cancer preventionBarley grass extracts protect human tissue cells against carcinogens. The mechanism of action is unknown but may be associated with the plant's antioxidant activity or its chlorophyll content. It has been suggested that complexes may be formed between the carcinogen and the chlorophyll that may inactivate the carcinogen. In addition, antioxidants, including superoxide dismutase, found in high concentrations in green barley juice protect against radiation and free radicals. Research reveals no clinical data regarding the use of barley grass for cancer-preventive properties.HyperlipidemiaCholesterol-lowering effects have been attributed to the beta-sitosterol components, in part. Beta-sitosterol is thought to act by inhibiting the intestinal absorption of cholesterol and accelerating its catabolism to bile acid. Preliminary animal and clinical data show that total cholesterol and LDL cholesterol levels were lowered. HCL cholesterol levels were increased. More clinical studies are needed to be conclusive.Other usesMany claims have been made regarding the health benefits of barley grass supplements. Suggested benefits include treatment of HIV infection, detoxification of pollutants, and boosting energy and immunity. However, objective evidence supporting many of these claims is lacking."
22,Bayberry,"Traditional/Ethnobotanical usesThe bayberry is best known for its berries, from which a wax is derived to make fragrant bayberry candles. In folk medicine, bayberry has been used as a tea for its tonic and stimulant properties, and for treating diarrhea. Among Native Americans, the leaves were used to destroy parasitic worms, the leaves and stems were used for treating fever, and the roots were applied as a poultice. It is also reported to have been used as a charm medicine to exorcise spirits of the dead and to prevent diseases. The dried root bark often is used medicinally and as a dyeing/tanning agent.General usesBayberry has been used traditionally for many conditions; however, clinical trials are lacking to validate these claims. Anti-inflammatory and antioxidant activities have been demonstrated in only 1 small clinical trial and animal data. Some protective effects on the liver were seen in 1 small study."
23,Bee Pollen,"
Bee pollen is used by some people for nutrients."
24,Beta Glucans,"Traditional/Ethnobotanical usesBeta-glucans have been used in traditional medicine, especially in Japan, and have been extensively studied for many years, particularly for their potential as immunomodulators. Traditional Chinese and Asian medicines extensively utilize medicinal mushrooms as a source of beta-glucan, while in the United States, early research focused on the immunomodulatory effects of zymosan derived from the yeast Saccharomyces cerevisiae.General usesReviews providing an overview of the beta-glucans are available, focusing largely on preventative roles in cancer and diseases related to the cardiovascular and immune systems. For more detailed information, see the individual monographs for the different beta-glucans sources (maitake [grifola], seaweed, and oats)."
25,Beta-Carotene,"
Beta-carotene helps to stop cell damage. It helps your body make vitamin A. People who are sensitive to the sun may take this product to protect them from sunlight. Some women eat more fruits and vegetables that contain beta-carotene to lower the risk of breast cancer. Other women may take it in small amounts to lower the risk of problems with pregnancy. It is also used for macular degeneration, an eye problem that can occur with age. Other people take this product to give a natural looking tan or skin color."
26,Beta-Sitosterol,"
Beta-sitosterol may be used by some people to help lower cholesterol. Men with a certain prostate problem may also use it."
27,Betaine Hydrochloride,"
Betaine hydrochloride (HCl) may help to raise the level of acid in the stomach. It may also help with some bowel problems. There is also a prescription drug, Betaine. It is not the same as this natural product. Take extra care so you do not mix them up as they are used for different illnesses."
28,Betel Nut,"Traditional/Ethnobotanical usesThe chewing of betel nut quids dates to antiquity. In the 1st century AD, Sanskrit medical writings claimed that betel nut possessed 13 qualities found in the region of heaven. It is pungent, bitter, spicy, sweet, salty, and astringent. It was said to expel wind, kill worms, remove phlegm, subdue bad odors, beautify the mouth, induce purification, and kindle passion. Because of its CNS stimulating effects, betel nut is used in a manner similar to the western use of tobacco or caffeine. Arecoline is responsible for some of the effects of betel quid chewing, such as alertness, increased stamina, a sense of well-being, euphoria, and salivation. Chewing the nut stimulates the flow of saliva to aid digestion. Betel nut also has been used to stimulate the appetite.Miscellaneous usesBetel nut's medical use is limited, and long-term negative reactions to betel quid chewing are well known. A decrease in positive symptoms among men with schizophrenia was attributed to betel nut consumption."
29,Betony,"Traditional/Ethnobotanical usesFew plants have as widespread a history as betony. Its use has been known since the Roman Empire, when it was considered a remedy for a wide variety of diseases. During the Middle Ages, the plant was ascribed magical powers. Today the plant continues to be used in traditional medicine. A weak infusion sometimes is taken as a tea. It is used as an astringent to treat diarrhea and as a gargle or tea for irritations of the mouth and throat. It has been used to treat anxiety and has been given as a tincture or smoked for the treatment of headache. The name ""betony"" may derive from the Celtic form of bew (a head) and ton (good).General usesExperimental or clinical studies to support the many traditional uses of betony are limited. Antioxidant, antimicrobial, and anti-inflammatory effects have been demonstrated in animal or in vitro studies only."
30,Bilberry,"
Bilberry is taken by some people to help with tired eyes. Some people believe bilberry will protect cells from damage."
31,Biotin,"
Biotin is a kind of B vitamin found in the food you eat. Some people use this product to add more biotin to their diet. Others use it if they have problems with their skin."
32,Bitter Melon,"
Bitter melon is a vegetable. Some people use it as a medicine but science does not support its use for health problems."
33,Bitter Orange,"
Bitter orange is a fruit. Some people use it as a medicine but science does not support its use for health problems."
34,Black Cohosh,"
Black cohosh is taken by some people to help with signs of menopause, like hot flashes."
35,Bladderwrack,"
Bladderwrack is used by some people as a food source. Others use it to help with weight loss or wound healing."
36,Bloodroot,"Traditional/Ethnobotanical usesBloodroot was used by eastern American Indian tribes as a red dye and in the treatment of ulcers, skin conditions, and as a blood purifier as well as for treating ulcers and skin conditions. All of these medicinal uses derive from the appearance of the blood-red latex exuded from the fresh root. The juice also was used for coughs and sore throats, with the bitter taste masked by placing the juice on a lump of maple sugar that was then sucked. Higher oral doses were observed to expel phlegm and cause vomiting. The root entered 19th century medicine as a caustic topical treatment for skin cancers, polyps, and warts. Bloodroot has been marketed in toothpastes and mouthwashes for the prevention of gum disease and plaque, but studies have found it inferior to drugs such as doxycycline and chlorhexidine, with concerns about its toxicity."
37,Boldo,"Traditional/Ethnobotanical usesIn Chile, the yellowish-green fruit is eaten, its bark used in tanning, and its wood used for charcoal. Explorers noticed that local South Americans used the leaves medicinally and introduced the herb to North America and Great Britain to prevent or facilitate gas for stomach, bladder, and liver complaints, and as a mild sedative. The plant is used in natural medicine in the treatment of digestive disorders, as a laxative, choleretic (a stimulant of bile secretion), diuretic, and for hepatic diseases. The leaves also have been used for worms, gonorrhea, syphilis, gout, rheumatism, head colds, and earaches. Boldo extract is used as a flavoring for alcoholic beverages.General usesIn vitro and animal studies suggest boldo leaf extract and its part, boldine, possess antioxidant, anti-inflammatory, and antimicrobial effects, as well as potential applications in diabetes, GI disorders, and cancer. However, clinical trials are lacking to support any therapeutic application."
38,Boneset,"Traditional/Ethnobotanical usesBoneset has been used as a charm and as a medicinal remedy for centuries by indigenous North Americans. As a charm, the root fibers were applied to hunting whistles with the belief that they would increase the whistle's ability to call deer. As an herbal remedy, American Indians used boneset as an antipyretic (to reduce fevers). The early settlers used the plant to treat rheumatism, dropsy, dengue fever, malaria, pneumonia, and influenza. The name boneset was derived from the plant's use in the treatment of breakbone fever, a term describing the high fever that often accompanies influenza. Boneset was official in the US Pharmacopeia from 1820 to 1900.Miscellaneous usesBoneset chiefly has been used to treat fevers. Boneset sometimes is found in herbal combination products for colds, flu, and fevers. There are no clinical studies evaluating its safety or effectiveness in the treatment of these conditions."
39,Borage,"Traditional/Ethnobotanical usesBorage leaves have been used as a potherb and in European herbal medicine since the Middle Ages. Borage leaves and flowers were added to wine and lemon juice to make the popular English beverages claret cup and cool tankard. The leaves have been used to treat rheumatism, colds, and bronchitis, as well as to increase lactation in women. Infusions of the leaves have been used to induce sweating and urination.General usesBorage has been used alone and in combination with fish oil for the treatment of rheumatoid arthritis, skin disorders, and bone weakening, although clinical evidence to support these uses is limited."
40,Boron,"
Boron is taken by some people who have low levels of boron. Others may take it to help with painful periods. Some women will use a form of this product called boric acid inside the vagina to treat a vaginal yeast infection."
41,Bovine Colostrum,"Traditional/Ethnobotanical UsesThe use of colostrum for both medicinal and spiritual purposes has been noted in the traditional Ayurvedic medical system and among the ancient Hindu rishis (spiritual leaders) of India. At the turn of the 20th century, the use of colostrum was advocated to protect infants against both human and bovine infections. Prior to the advent of sulfa drugs and other antibiotics, colostrum was used to boost defense against immune diseases. Albert Sabin isolated antipolio antibodies in bovine colostrum in the 1950s and the first experiments with hyperimmune colostrum were conducted in the 1960s.General UsesBovine colostrum may have a role in the management of HIV-associated diarrhea. Evidence is promising but weak for use in boosting the immune system, preventing infection, and in enhancing performance among athletes."
42,Brahmi,"
Brahmi is used by some people to help heal wounds."
43,Branched-Chain Amino Acids,"
Branched-chain amino acids are also called BCAAs. They come from proteins found in food like red meat, chicken, fish, eggs, beans, and dairy. BCAAs may help with brain problems caused by liver damage."
44,Brewer's Yeast,"
Brewer's yeast is used by some people as a food supplement to give some B vitamins. Others use it to help with sudden loose stools or diarrhea."
45,Bromelain,"
Bromelain is taken by some people to help with swelling in the nose and sinuses. Others use it to help the immune system work well. Using bromelain on the skin may help remove dead skin from burns."
46,Buchu,"Traditional/Ethnobotanical usesThe Khoekhoe people (also spelled Khoikhoi) employed the leaves for the treatment of a great number of ailments. Early patent medicines sold in the United States hailed the virtues of the plant and its volatile oil for the management of diseases ranging from diabetes to nervousness. Buchu first was exported to Britain in 1790. In 1821, it was listed in the British Pharmacopoeia as a medicine for ""cystitis, urethritis, nephritis and catarrh of the bladder.""The drug had been included in the US National Formulary and was described as a diuretic and antiseptic. Its use since has been abandoned in favor of more effective diuretics and antibacterials. Buchu remains a popular ingredient in over-the-counter herbal diuretic preparations.Historically, buchu has been used to treat inflammation, and kidney and urinary tract infections; as a diuretic and as a stomach tonic. Other uses include carminative action and treatment of cystitis, urethritis, prostatitis, and gout. It also has been used for leukorrhea and yeast infections.Diuretic/Anti-inflammatoryBuchu remains a popular ingredient in over-the-counter herbal diuretic preparations. Despite the lack of evidence, buchu is still used today in western herbal medicine for urinary tract ailments, cystitis or urethritis prophylaxis, and prostatitis. It also is used in combination with other herbs such as cornsilk, juniper and uva-ursi. Buchu also is listed in the German Commission E Monographs to treat inflammation, kidney and urinary tract infections, and also is used as a diuretic, but the monograph explains that the plant's activity in these claimed uses has not been substantiated."
47,Bugleweed,"Traditional/Ethnobotanical usesTraditional uses of bugleweed include treatment of nosebleeds, heavy menstrual bleeding, and coughs. It has also been used as a sedative, astringent, and mild narcotic, and for tuberculosis characterized by bleeding from the lungs. More current uses are primarily for mild hyperthyroid conditions and for premenstrual syndrome, including breast pain (mastodynia).General usesBugleweed is used to treat mild hyperthyroidism, premenstrual syndrome, and breast pain; however, there are few clinical studies to support these uses."
48,Bupleurum,"
Bupleurum is an herb taken by some people as medicine. Science does not support the use of this product for any health problem."
49,Burdock,"Traditional/Ethnobotanical usesIn traditional medicine, the fruits, seeds, roots, and leaves of burdock have been used as extracts or teas for a wide range of ailments including colds, gout, rheumatism, stomach ailments, and cancers, and to promote urination, increase sweating, and facilitate bowel movements. It has also been promoted to increase sexual desire, and used for various skin problems. Burdock root is commonly used as food in Asia. Some US health stores carry fresh burdock root for sale as a food and nutraceutical.General usesAnti-inflammatory and antioxidant effects have been described for burdock whole root extract, as well as for its chemical components. Diabetes, cancer, CNS conditions, stomach ulcer, and inflammation of the colon are under investigation for possible burdock use; however, not enough clinical evidence is available."
50,Butcher's Broom,"Traditional/Ethnobotanical usesR. aculeatus was given its common name, butcher's broom, because its stiff twigs were bound together and used by butchers in Europe to keep their cutting boards clean. The plant has a long history of use. More than 2000 years ago, it was noted as a laxative, diuretic, and a phlebotherapeutic (beneficial to veins) agent. Extracts, decoctions, and poultices have been used throughout the ages, but the medicinal use of this plant did not become common until the last century. Early investigations during the 1950s indicated that extracts of butcher's broom could induce vasoconstriction and therefore might have use in the treatment of circulatory diseases. The increasing popularity of natural and herbal remedies in Europe in the 1970s reaffirmed its position in modern medicine. Novel uses for this plant have included its use as an anti-inflammatory agent and to prevent atherosclerosis.Venous conditionsA variety of compounds have been isolated from butcher's broom. The 2 primary active saponin compounds are ruscogenin and neoruscogenin. Butcher's broom is the active component in several produce formulations and topical treatments for venous diseases and venous insufficiency, such as varicose veins and hemorrhoids. Limited results showing some promise from clinical trials are available. The German Commission E approves oral use for supportive therapy for discomforts of chronic venous insufficiency and complaints of hemorrhoids. Butcher's broom also may be useful for orthostatic hypotension, although data is limited.Other usesNovel modern uses for this plant have included its use as an anti-inflammatory agent and to prevent atherosclerosis. The discovery of new pharmacological activity of butcher's broom, particularly as a cytotoxic agent, demonstrate the need for continued research on butcher's broom.Butcher's broom has been used in many forms as a laxative, diuretic, treatment for circulatory disease, and cytotoxic agent, although limited results from clinical trials are available."
51,Butterbur,"
Butterbur is used by some people to help treat seasonal allergies. Others may use it to prevent migraines."
52,Calanolide A,"Traditional/Ethnobotanical usesRain forests are a very promising source of natural medicines because of their vast diversity. It has been estimated that more than half of the world's 250,000 plant species exist in tropical rain forests. Searching for natural drugs in these areas, the National Cancer Institute (NCI) contracts scientists to gather specimens for analysis. In 1987, an Illinois team obtained samples from many trees, one of which was Calophyllum lanigerum. Four years later, the NCI discovered that a preparation from this gum tree was very effective against the human immunodeficiency virus type 1 (HIV-1).HIVInitial studies show promise for treating HIV-1. Calanolide A has been found to inhibit a wide variety of HIV-1 strains, drug-resistant strains, and HIV disease in various stages.Calanolide A appears to act early in the infection process, as calanolide A is an investigational drug. No clinical data is available yet.Calanolide A has been synthesized in the lab and was found to have similar actions to the natural product."
53,Calendula,"
Calendula is used as a mouthwash by some people to help with gum problems."
54,Caprylic Acid,"
Caprylic acid is used by some people as medicine. Science does not support the use of this product for any health problem."
55,Caprylidene,"
Caprylidene is used by some people to help manage Alzheimer disease."
56,Capsicum Peppers,"
Capsicum peppers include many types of chilies and peppers. They are often used as flavorings in food. Some people also use this product on their skin to help relieve pain and even some headaches. Other people apply this product in the nose to help reduce a runny nose. This product is used in self defense sprays."
57,Carnitine,"
Carnitine is used to help keep blood levels normal in people who are born with carnitine problems."
58,Cascara,"
Cascara is used by some people as a laxative. This product is not considered to be safe for use by the US Food and Drug Administration (FDA)."
59,Cat's Claw,"
Cat's claw is used by some people as medicine. Science does not support the use of this product for any health problem."
60,Catnip,"Traditional/Ethnobotanical usesCatnip's leaves and shoots have been used as a flavoring in sauces, soups, and stews, and in several patented beverages, as well as in fruit table wines and liquors. The use of catnip leaves and flowers in herbal teas was documented at least as early as 1735 in the General Irish Herbal. Medicinally, the plant has been used to treat intestinal cramps, for indigestion, to cause sweating, to induce menstruation, as a sedative, and to increase appetite. Additionally, the plant has been used to treat diarrhea, colic, the common cold, and cancer. In Appalachia, nervous conditions, stomach ailments, hives, and the common cold have been treated with catnip tea. The dried leaves have been smoked to relieve respiratory ailments, and a poultice has been used externally to reduce swelling. In the early 1900s, the flowering tops and leaves were used to induce delayed menses. During the 1960s, catnip was reportedly smoked for its euphoric effects.General usesThere is little clinical data to support any use of catnip in humans, except as an insect repellant."
61,Centaury,"Traditional/Ethnobotanical usesGenus Erythraea is derived from the Greek erythros, relating to the red color of the flowers. The genus formerly was called Chironia, from Centaur, Chiron. Hippocrates describes centaurium, under the Greek Kentareion and according to legend, Chiron (founder of medicine) used centaury to heal a wound inflicted by a poisoned arrow. Historically, centaury has been used as an herbal medicine to kill worms, to treat dropsy, as a sedative, to treat snakebite and other wounds, and topically for freckles and spots. It is reputed to be an aromatic bitter and tonic for treating GI complaints such as bloating, dyspepsia, and flatulence, and anorexia. Centaury is said to act on the liver and kidneys to ""purify the blood,"" and for jaundice. Centaury also was used traditionally to treat fever, hence the name ""feverwort."" This bitter herb enhances production of gastric secretions, which stimulates appetite and improves digestion. Long-term use of the herb is required for the tonic effects on the stomach to fully develop. Other effects include anti-inflammatory as well as antimutagenic effects. Little research is available to support these traditional uses."
62,Chamomile,"
Chamomile is used by many people to help with sleep, as a mild sedative, and to lower anxiety. It is also used by some people for conditions caused by inflammation inside the body. Others use it to help with spasms of the GI tract and the urinary tract."
