,Medicines,Page_Content
15,Arginine,"
Arginine Medically reviewed by Drugs.com.  Last updated on Jun 13, 2019. What are other common names?





Arginine Ethyl Ester
Arginine Ethyl Ester Dihydrochloride
Arginine Ethyl Ester HCl
Arginine HCl
Arginine Hydrochloride
Di-Arginine Malate
Di-Arginine Orotate
Di-L-Arginine-L-Malate
Dl-Arginine
L-Arginine
L-Arginine Ethyl Ester Dichloride
L-Arginine HCl
L-Arginine Hexanoate
L-Arginine Hydrochloride
L-Arginine Ketoisocaproic Acid
L-Arginine L-Pyroglutamate
L-Arginine Pyroglutamate
L-Arginine Taurinate

What is this product used for?
Arginine helps your body to make a substance called nitric oxide, or NO. NO helps to relax blood vessels and this helps with blood flow. Some people take arginine to help with heart problems. Others may use it for pain caused by poor blood flow, especially in the legs. Some men who have problems getting an erection use it to help improve sexual activity.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


Do not use this product if your body cannot use arginine. Some people are born with this problem.


Be sure to tell your doctor that you take this product if you are scheduled for surgery or tests.


Do not use this product if you are taking drugs for high blood pressure. These are drugs like captopril (Capoten), losartan (Cozaar), diltiazem (Cardizem), or furosemide (Lasix).


Take extra care if you are taking drugs that relax your blood vessels. These are drugs like nitroglycerin (Nitrostat), isosorbide dinitrate (Isordil), or sildenafil (Viagra).


Take extra care if you are taking drugs to thin your blood. These are drugs like warfarin (Coumadin), heparin, or enoxaparin (Lovenox).


Take extra care if you are taking drugs to dissolve blood clots. These are drugs like alteplase (Activase), reteplase (Retevase), or streptokinase.


Take extra care and check with your doctor if you have:


Heart problems or a recent heart attack


Kidney problems


Liver problems


Diabetes


Blood pressure problems


Breathing problems like asthma or COPD


Fever blisters or other herpes virus infections




What should I watch for?


Upset stomach or bloating


Flushing or skin that feels warm and looks reddened


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; tightness in the chest; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Signs of low blood pressure. These include feeling dizzy, weak, or tired; fainting; more thirst; or skin that is pale, cool, and clammy.


Very bad throwing up


Very bad belly pain


Very bad headache


Bruising or bleeding that is not normal


Changes in menstrual periods like lots of bleeding, spotting, or bleeding between cycles.


Breathing problems


Last Reviewed Date2018-04-18Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer
"
16,Arnica,"
Arnica
 Medically reviewed by Drugs.com.  Last updated on Jul 25, 2019. 

Professional
Breastfeeding
Reviews
Pricing

More 


What are other common names?






Arnica chamissonis


Arnica cordifolia


Arnica fulgens


Arnica latifolia


Arnica montana


Arnica sororia

Arnica Flos
Arnica Flowers
Arnica Root
Common Arnica
Leopard's Bane
Leopardsbane
Mountain Arnica
Mountain Daisy
Mountain Snuff
Mountain Tobacco
Sneezewort
Wolf's Bane
Wolfsbane
Wundkraut

What is this product used for?
Arnica is used by some people to ease joint pain from arthritis.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with other drugs or natural products.


Be sure to tell your doctor that you take this product if you are scheduled for surgery or tests.


Do not use this product on broken skin. Do not take this product by mouth.


Do not use this product if you are pregnant or plan to become pregnant soon.


Take extra care if you are allergic to pollens or plants like ragweed, daisy, aster, marigolds, or chrysanthemums.


Take extra care if you are taking drugs that can thin your blood. These are drugs like aspirin, ibuprofen (Advil), naproxen (Naprosyn), warfarin (Coumadin), enoxaparin (Lovenox).


Take extra care and check with your doctor if you have:


Bleeding problems


Stomach problems


High blood pressure


Fast heart rate




What should I watch for?
When used on the skin for long periods, skin irritation can happen which may include:


Dry skin with red, itchy bumps especially around the elbows and knees


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Swelling around the area where applied


Peeling skin or blisters


Last Reviewed Date2018-04-18Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about arnica topical

Breastfeeding
Pricing & Coupons
19 Reviews
Drug class: herbal products

Professional resources

Arnica (Advanced Reading)

Related treatment guides

Epicondylitis, Tennis Elbow
Inflammatory Conditions
Muscle Pain


"
17,Artichoke,"
Artichoke Medically reviewed by Drugs.com.  Last updated on Dec 20, 2018. What are other common names?






C. cardunculus


Cynara cardunculus


Cynara scolymus

Alcachofa
Alcachofra
ALE
Artichaut
Artichoke Extract
Artichoke Fruit
Artichoke Leaf Extract
Artichokes
Extractum Cynarae aq. Siccum
Garden Artichoke
Globe Artichoke

What is this product used for?
Artichoke is used by some people to help lower cholesterol levels. Some people may use it to help lower blood sugar levels.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with other drugs or natural products.


Do not use if you have problems with your bile ducts or have had gallstones.


Take extra care if you are allergic to plants like ragweed, daisy, aster, marigolds, or chrysanthemums.


Keep hard candies, glucose tablets, liquid glucose, or juice on hand for low blood sugar.


Take extra care and check with your doctor if you have:


Blood sugar problems




What should I watch for?


More gas than you normally have


Rash


Itching


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; tightness in the chest; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Signs of low blood sugar. These include anger, shaking, a fast heartbeat, confusion, or sweating.


Pain or tenderness in your side


Yellow skin or eyes


Last Reviewed Date2018-04-18Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer
"
18,Ashwagandha,"
Ashwagandha Medically reviewed by Drugs.com.  Last updated on Sep 29, 2019. What are other common names?






Physalis somnifera


Withania somnifera

Ajagandha
Amangura
Amukkirag
Asan
Asana
Asgand
Asgandh
Asgandha
Ashagandha
Ashvagandha
Ashwaganda
Ashwanga
Asoda
Asundha
Asvagandha
Aswaganda
Aswagandha
Avarada
Clustered Winter Cherry
Indian Ginseng
Kanaje Hindi
Kuthmithi
Samm al ferakh
Winter Cherry
Withania
Withania Somnifera

What is this product used for?
Ashwagandha is used by some people to help the body cope with stress.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with other drugs or natural products.


This product may interfere with some lab tests. Be sure to talk with your doctor about this and all drugs you are taking, especially digoxin (Lanoxin).


Be sure to tell your doctor that you take this product if you are scheduled for surgery or tests.


Do not use this product if you are pregnant or plan to become pregnant soon. Use birth control you can trust while taking this product.


Do not use this product if you have stomach problems or ulcers.


Avoid beer, wine, and mixed drinks (alcohol) while taking this product. It may cause you to become sleepy or drowsy.


Take extra care if you are at a high risk for infection. This includes people who have had a transplant, are on chemo, or have an autoimmune disease.


This product may cause you to be sleepy. Take extra care driving and doing tasks that you need to be alert for while taking this product.


Take extra care if you are using drugs to help you relax or sleep. These are drugs like diazepam (Valium), lorazepam (Ativan), phenobarbital (Donnatal), or zolpidem (Ambien).


Take extra care and check with your doctor if you have:


Heart problems


Blood pressure problems


Blood sugar problems


Thyroid problems


Keep hard candies, glucose tablets, liquid glucose, or juice on hand for low blood sugar, especially if you have blood sugar problems.


What should I watch for?


Upset stomach


Feeling lightheaded, tired, or sleepy


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Very bad throwing up


Very bad loose stools


Change in balance, feeling shaky, or unsteady


Not able to think clearly or change in thinking


Last Reviewed Date2018-04-18Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer
"
19,Astragalus,"
Astragalus
 Medically reviewed by Drugs.com.  Last updated on Sep 3, 2019. 

Professional
Breastfeeding

More 


What are other common names?






Astragalus membranaceus


Astragalus mongholicus

Astragale
Astragalo
Astragalus
Beg Kei
Bei Qi
Buck Qi
Chinese Astragalus
Huang Chi
Huang Qi
Huang Se
Hwanggi
Jin Fu Kang
Membranous Milk Vetch
Membranous Milk-Vetch
Meng Gu Huang Qi
Milk Vetch
Mongolian Milk
Ogi
Ougi
Radix Astragali
Radix Astragalus

What is this product used for?
Astragalus is used by some people to help improve their immune system.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with other drugs or natural products.


Take extra care if you are at a high risk for infection. This includes people who have had a transplant, are on chemo, or have an autoimmune disease.


Keep hard candies, glucose tablets, liquid glucose, or juice on hand for low blood sugar.


Take extra care and check with your doctor if you have:


Cancer


Diabetes


Blood pressure problems




What should I watch for?


Upset stomach


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Signs of low blood sugar. These include anger, shaking, a fast heartbeat, confusion, or sweating.


Very bad throwing up


Very bad loose stools


Where can I learn more?
National Center for Complementary and Alternative Medicine

https://nccih.nih.gov/health/astragalus

Last Reviewed Date2018-04-18Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about astragalus

Breastfeeding

Professional resources

Astragalus (Advanced Reading)


"
20,Barberry,"
Barberry

Overview
Professional

More 


What is Barberry?



The barberry grows wild throughout Europe but has been naturalized to many regions of the eastern US. M. aquifolium is an evergreen shrub native to the northwestern US and Canada. Barberry has spiny, holly-like leaves and is widely grown as an ornamental. Its yellow flowers bloom, then develop into red to blue-black oblong berries.
Scientific Name(s)
Berberis vulgaris,  Berberis aristata, Mahonia aquifolium
Common Name(s)
Barberry also is known as holly barberry, Oregon grape, Oregon barberry, Oregon grapeholly, trailing mahonia, berberis, jaundice berry, woodsour, sowberry, pepperidge bush, and sour-spine
What is it used for?
Traditional/Ethnobotanical usesThe plant has a long history of use, dating back to the Middle Ages. Tribes in the Pacific Northwest used M. aquifolium to treat acne, and other Native Americans used Mahonia berries to treat scurvy. The sundried fruits have been eaten for fever-reducer and urine-production effects in Turkey. A preparation of the plant has been used to treat GI ailments and coughs. The alkaloid berberine was included as an astringent in eye drops, but its use has become rare. The fruits have been used to prepare jams, jellies, and juices. The use of the plant in traditional medicine has been limited by the bitter taste of the bark and root. However, multiple medicinal uses for barberry, including cancer, cholera, and high blood pressure have been listed.General usesClinical applications may include use in treating diabetes and cholesterol disorders, although clinical trials are limited. Other activity includes antimicrobial, antioxidant, and anti-inflammatory effects. No clinical trials exist to support uses related to effects on the heart/blood vessel and central nervous systems or treating cancer.
What is the recommended dosage?
Daily doses of 2 g of the berries and 1.5 to 3 g daily of dry bark have been used; however, there are limited clinical studies to support barberry's varied uses.
Contraindications
Use with caution in the presence of irregular heart beat. Effective use in children has not been proven.
Pregnancy/Lactation
Avoid use. Documented adverse effects (including uterine-stimulant effects).
Interactions
Barberry should be used cautiously with potentially toxic medicines such as cyclosporine.
Side Effects
GI symptoms (eg, nausea, vomiting, diarrhea), dizziness, and fainting have been reported. Effects on the heart/blood vessel system (eg, low blood pressure, decreased heart rate) and decreased breathing may occur with high dosages.  Hypersensitivity has been documented.
Toxicology
Symptoms of poisoning are lack of energy, stupor and daze, vomiting and diarrhea, and kidney inflammation. A median lethal dose for berberine was noted as 27.5 mg/kg in humans.
References
1. Barberry. Review of Natural Products. Facts & Comparisons [database online]. St. Louis, MO: Wolters Kluwer Health Inc; January 2015.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about barberry

En Español
Drug class: herbal products

Consumer resources

Barberry

Professional resources

Barberry (Advanced Reading)

Related treatment guides

Anorexia
Constipation
Cough
Diarrhea
... +5 more


"
21,Barley Grass,"
Barley Grass

Professional
Reviews

More 


What is Barley Grass?



Barley is an annual grass. Barley grass is the leaf of the barley plant, as opposed to the grain. It is capable of growing in a wide range of climatic conditions. Barley grass has greater nutritional value if harvested at a young age.
Scientific Name(s)
Hordeum vulgare, Hordeum distichon
Common Name(s)
Barley also is known as barley grass and hordeum.
What is it used for?
Traditional/Ethnobotanical usesBarley is considered to be the first cereal grain cultivated by humans. Its medicinal and food use dates back to 7000 BC. Crop reports on barley date back to 2440 BC, and the Chinese were cultivating barley circa 2000 BC. Since biblical times, ancient Asian and Middle Eastern cultures reportedly included young wheat and barley grass plants in their diets. Historically, the plant species was used in the treatment of skin, liver, blood, and GI disorders. Ancient Greeks used the mucilage derived from the cereal to treat GI inflammations. Gladiators ate barley for strength and stamina. The Roman physician Pliny used barley as part of a ritualized cure for boils.NutritionalIn 1940, it was explained how the vitamins, minerals, and protein in the cereal grasses are essential to animals and humans. A dehydrated preparation of cereal grass called ""cerophyl"" was approved as an ""accepted food"" by the Council of Foods of the American Medical Association in 1939. Later, synthetic nutrients were added to a number of foods, and multivitamins gained popularity. The juice of barley grass contains beta carotene, vitamins B1, B2, B6, B12, pantothenic acid, and folic acid. Minerals present include potassium, calcium, iron, phosphorus, and magnesium. Other constituents are chlorophyll, amino acids, protein, fiber, and enzymes. Cobalamin or vitamin B12 deficiency may be avoided in vegetarian diets by supplementation with dehydrated barley grass juice.Antioxidant activityBarley leaf extract has the ability to scavenge free radicals. Reactive oxygen species have been shown to play an important part in mediating the production of pro-inflammatory cytokines and can be instrumental in the pathogenesis of diseases such as rheumatoid synovitis, arthritis, and gout. Animal data shows an increased production of oxygen-free radicals with barley leaf extract added to the diet. Clinical studies show blood levels of oxygen-free radicals were reduced by supplementation with 15 g/day barley leaf extract in patients with type 2 diabetes mellitus. Similar results were noted in nondiabetic, hyperlipidemic patients. More clinical studies are needed to show the extent of benefits in humans.Cancer preventionBarley grass extracts protect human tissue cells against carcinogens. The mechanism of action is unknown but may be associated with the plant's antioxidant activity or its chlorophyll content. It has been suggested that complexes may be formed between the carcinogen and the chlorophyll that may inactivate the carcinogen. In addition, antioxidants, including superoxide dismutase, found in high concentrations in green barley juice protect against radiation and free radicals. Research reveals no clinical data regarding the use of barley grass for cancer-preventive properties.HyperlipidemiaCholesterol-lowering effects have been attributed to the beta-sitosterol components, in part. Beta-sitosterol is thought to act by inhibiting the intestinal absorption of cholesterol and accelerating its catabolism to bile acid. Preliminary animal and clinical data show that total cholesterol and LDL cholesterol levels were lowered. HCL cholesterol levels were increased. More clinical studies are needed to be conclusive.Other usesMany claims have been made regarding the health benefits of barley grass supplements. Suggested benefits include treatment of HIV infection, detoxification of pollutants, and boosting energy and immunity. However, objective evidence supporting many of these claims is lacking.
What is the recommended dosage?
A dose of 15 g/day dried barley leaf extract has been used to lower cholesterol.
Contraindications
Contraindications have not yet been identified.
Pregnancy/Lactation
Information regarding safety and efficacy in pregnancy and lactation is lacking.
Interactions
None well documented.
Side Effects
Although hypersensitivity to barley products typically is associated with the seed and not the green leaves or shoots, patients with celiac disease or other sensitivities to barley probably should avoid use of barley grass.
Toxicology
No data.
References
1. Barley Grass. Review of Natural Products. factsandcomparisons4.0 [online]. 2005. Available from Wolters Kluwer Health, Inc. Accessed April 16, 2007.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about barley grass

5 Reviews

Professional resources

Barley Grass (Advanced Reading)

Related treatment guides

Herbal Supplementation


"
22,Bayberry,"
Bayberry
What is Bayberry?



The bayberry grows as a large evergreen shrub or small tree that is widely distributed throughout the southern and eastern US. It is known for its small, bluish-white berries. Plant parts used include the fruits, leaves, bark, and roots. Geographical location and differing methods of harvesting, processing, and storage result in varying constituents in the juice and extract.
Scientific Name(s)
Myrica cerifera and Myrica rubra
Common Name(s)
Bayberry also is known as wax myrtle plant,  candleberry, Chinese bayberry, red bayberry, waxberry, and yang-mei.
What is it used for?
Traditional/Ethnobotanical usesThe bayberry is best known for its berries, from which a wax is derived to make fragrant bayberry candles. In folk medicine, bayberry has been used as a tea for its tonic and stimulant properties, and for treating diarrhea. Among Native Americans, the leaves were used to destroy parasitic worms, the leaves and stems were used for treating fever, and the roots were applied as a poultice. It is also reported to have been used as a charm medicine to exorcise spirits of the dead and to prevent diseases. The dried root bark often is used medicinally and as a dyeing/tanning agent.General usesBayberry has been used traditionally for many conditions; however, clinical trials are lacking to validate these claims. Anti-inflammatory and antioxidant activities have been demonstrated in only 1 small clinical trial and animal data. Some protective effects on the liver were seen in 1 small study.
What is the recommended dosage?
Clinical trials do not provide dosage recommendations of bayberry.
Contraindications
Contraindications have not yet been identified.
Pregnancy/Lactation
Information regarding safety and efficacy in pregnancy and lactation is lacking.
Interactions
Reduction of blood clot formation has been described.
Side Effects
Plant allergy, including severe, whole-body allergic reaction, has been documented. Cross-sensitivity with other fruits was reported.
Toxicology
Carcinogenicity of the root bark has been reported. Myricadiol has been shown to be spermatocidal.
References
1. Bayberry. Review of Natural Products. Facts & Comparisons [database online]. St. Louis, MO: Wolters Kluwers Health Inc; January 2015.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about bayberry topical
Professional resources

Bayberry (Advanced Reading)

Related treatment guides

Minor Skin Conditions


"
23,Bee Pollen,"
Bee Pollen
 Medically reviewed by Drugs.com.  Last updated on May 1, 2019. 

Overview
Reviews

More 


What are other common names?





Bee Bread
Bee Pollen Extract
Buckwheat Pollen
Honey Bee Pollen
Honeybee Pollen
Maize Pollen
Pine Pollen
Pollen

What is this product used for?
Bee pollen is used by some people for nutrients.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with other drugs or natural products.


Do not use this product if you are pregnant or plan to become pregnant soon. Use birth control you can trust while taking this product.


This product may interfere with some lab tests. Be sure to talk with your doctor about this and all drugs you are taking, especially warfarin (Coumadin).


Take extra care if you are allergic to bees or pollen. This product may cause a very bad allergic reaction.


Take extra care if you are taking drugs to thin your blood. These are drugs like warfarin (Coumadin).


Take extra care and check with your doctor if you have:


Allergies




What should I watch for?


Upset stomach


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; tightness in the chest; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Dark urine or yellow eyes and skin


Very bad throwing up


Very bad belly pain


Very bad loose stools


Very bad rash or itching


Last Reviewed Date2018-04-20Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about bee pollen

En Español
1 Review
Drug class: herbal products
FDA Alerts (2)

Consumer resources

Bee pollen

Related treatment guides

Herbal Supplementation


"
24,Beta Glucans,"
Beta-Glucans
What is Beta-Glucans?



Natural sources of beta-glucans include fungal cell walls, seaweed, oats, and barley. Although collectively termed beta-glucans, variations in composition exist as a consequence of being derived from different natural sources, as well as batch variations due to differing growing conditions. Synthetic substances are being developed to overcome such variations, but until these become widely available, information for beta-glucan depends on the source; see individual monographs for maitake (grifola) seaweed, and oats.
Scientific Name(s)
Beta-1,3-glucan, beta-1,3/1,6-glycan
Common Name(s)
Beta glycans also are known as beta-glucans.
What is it used for?
Traditional/Ethnobotanical usesBeta-glucans have been used in traditional medicine, especially in Japan, and have been extensively studied for many years, particularly for their potential as immunomodulators. Traditional Chinese and Asian medicines extensively utilize medicinal mushrooms as a source of beta-glucan, while in the United States, early research focused on the immunomodulatory effects of zymosan derived from the yeast Saccharomyces cerevisiae.General usesReviews providing an overview of the beta-glucans are available, focusing largely on preventative roles in cancer and diseases related to the cardiovascular and immune systems. For more detailed information, see the individual monographs for the different beta-glucans sources (maitake [grifola], seaweed, and oats).
What is the recommended dosage?
See individual monographs for specific dosing recommendations.
Contraindications
See individual monographs for specific information.
Pregnancy/Lactation
Information regarding safety and efficacy in pregnancy and lactation is lacking. See individual monographs for specific information.
Interactions
See individual monographs for specific interactions.
Side Effects
See individual monographs for specific adverse events.
Toxicology
See individual monographs for specific toxicology information.
References
1. Beta Glucans. Review of Natural Products. Facts & Comparisons [database online]. St. Louis, MO: Wolters Kluwer Health Inc; May 2011.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about beta glycans
Professional resources

Beta Glucans (Advanced Reading)

Related treatment guides

Herbal Supplementation


"
25,Beta-Carotene,"
Beta-Carotene Medically reviewed by Drugs.com.  Last updated on May 10, 2019. What are other common names?





A-Beta-Carotene
Canthaxanthin
Carophyll Red
Carotenes
Carotenoids
Food Orange 8
Mixed Carotenoids
Provitamin A
Provitamine A
Roxanthin Red 10
Tanning Pill
Tanning Tablet

What is this product used for?
Beta-carotene helps to stop cell damage. It helps your body make vitamin A. People who are sensitive to the sun may take this product to protect them from sunlight. Some women eat more fruits and vegetables that contain beta-carotene to lower the risk of breast cancer. Other women may take it in small amounts to lower the risk of problems with pregnancy. It is also used for macular degeneration, an eye problem that can occur with age. Other people take this product to give a natural looking tan or skin color.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with other drugs or natural products.


Be sure to tell your doctor that you take this product if you are scheduled for surgery.


This product may interfere with some lab tests. Be sure to talk with your doctor about this and all drugs you are taking.


This product may cause a higher risk of cancer in smokers. It can also cause a higher risk of cancer in people who have been exposed to asbestos.


Take extra care if you are taking drugs to control cholesterol. These are drugs like atorvastatin (Lipitor) or niacin.


If you are an alcoholic or drink a lot of alcohol, using this product may increase the risk of cancer.


What should I watch for?


Change in color of urine or stool


Change in the color of the palms of the hands, soles of the feet


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Very bad belly pain


Very bad loose stools


Last Reviewed Date2018-04-20Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer
"
